ExternalId,Subject,Status,ActivityDate,Description
TASK000001,Follow up on order status,Completed,2026-06-21,
TASK000002,Product demo scheduled,Not Started,2026-06-21,
TASK000003,Send quote revision,In Progress,2026-06-21,
TASK000004,Contract review meeting,Completed,2026-06-21,
TASK000005,Technical spec call,Not Started,2026-06-21,
TASK000006,Delivery confirmation,In Progress,2026-06-21,
TASK000007,Invoice dispute follow-up,Completed,2026-06-21,
TASK000008,Warranty claim initiated,Not Started,2026-06-21,
TASK000009,Installation support scheduled,In Progress,2026-06-21,
TASK000010,Quarterly business review,Completed,2026-06-21,
TASK000011,Return processing started,Not Started,2026-06-21,
TASK000012,Credit memo issued,In Progress,2026-06-21,
TASK000013,Backorder notification sent,Completed,2026-06-21,
TASK000014,Custom order specification,Not Started,2026-06-21,
TASK000015,Compliance documentation sent,In Progress,2026-06-21,
TASK000016,Pipeline review completed,Completed,2026-06-21,
TASK000017,Product spec clarification,Not Started,2026-06-21,
TASK000018,Account renewal discussion,In Progress,2026-06-20,
TASK000019,Shipping damage claim filed,Completed,2026-06-20,
TASK000020,New lead qualification call,Not Started,2026-06-20,
TASK000021,Follow up on order status,In Progress,2026-06-20,
TASK000022,Product demo scheduled,Completed,2026-06-20,
TASK000023,Send quote revision,Not Started,2026-06-20,
TASK000024,Contract review meeting,In Progress,2026-06-20,
TASK000025,Technical spec call,Completed,2026-06-20,
TASK000026,Delivery confirmation,Not Started,2026-06-20,
TASK000027,Invoice dispute follow-up,In Progress,2026-06-20,
TASK000028,Warranty claim initiated,Completed,2026-06-20,
TASK000029,Installation support scheduled,Not Started,2026-06-20,
TASK000030,Quarterly business review,In Progress,2026-06-20,
TASK000031,Return processing started,Completed,2026-06-20,
TASK000032,Credit memo issued,Not Started,2026-06-20,
TASK000033,Backorder notification sent,In Progress,2026-06-20,
TASK000034,Custom order specification,Completed,2026-06-20,
TASK000035,Compliance documentation sent,Not Started,2026-06-19,
TASK000036,Pipeline review completed,In Progress,2026-06-19,
TASK000037,Product spec clarification,Completed,2026-06-19,
TASK000038,Account renewal discussion,Not Started,2026-06-19,
TASK000039,Shipping damage claim filed,In Progress,2026-06-19,
TASK000040,New lead qualification call,Completed,2026-06-19,
TASK000041,Follow up on order status,Not Started,2026-06-19,
TASK000042,Product demo scheduled,In Progress,2026-06-19,
TASK000043,Send quote revision,Completed,2026-06-19,
TASK000044,Contract review meeting,Not Started,2026-06-19,
TASK000045,Technical spec call,In Progress,2026-06-19,
TASK000046,Delivery confirmation,Completed,2026-06-19,
TASK000047,Invoice dispute follow-up,Not Started,2026-06-19,
TASK000048,Warranty claim initiated,In Progress,2026-06-19,
TASK000049,Installation support scheduled,Completed,2026-06-19,
TASK000050,Quarterly business review,Not Started,2026-06-19,
TASK000051,Return processing started,In Progress,2026-06-19,
TASK000052,Credit memo issued,Completed,2026-06-18,
TASK000053,Backorder notification sent,Not Started,2026-06-18,
TASK000054,Custom order specification,In Progress,2026-06-18,
TASK000055,Compliance documentation sent,Completed,2026-06-18,
TASK000056,Pipeline review completed,Not Started,2026-06-18,
TASK000057,Product spec clarification,In Progress,2026-06-18,
TASK000058,Account renewal discussion,Completed,2026-06-18,
TASK000059,Shipping damage claim filed,Not Started,2026-06-18,
TASK000060,New lead qualification call,In Progress,2026-06-18,
TASK000061,Follow up on order status,Completed,2026-06-18,
TASK000062,Product demo scheduled,Not Started,2026-06-18,
TASK000063,Send quote revision,In Progress,2026-06-18,
TASK000064,Contract review meeting,Completed,2026-06-18,
TASK000065,Technical spec call,Not Started,2026-06-18,
TASK000066,Delivery confirmation,In Progress,2026-06-18,
TASK000067,Invoice dispute follow-up,Completed,2026-06-18,
TASK000068,Warranty claim initiated,Not Started,2026-06-18,
TASK000069,Installation support scheduled,In Progress,2026-06-17,
TASK000070,Quarterly business review,Completed,2026-06-17,
TASK000071,Return processing started,Not Started,2026-06-17,
TASK000072,Credit memo issued,In Progress,2026-06-17,
TASK000073,Backorder notification sent,Completed,2026-06-17,
TASK000074,Custom order specification,Not Started,2026-06-17,
TASK000075,Compliance documentation sent,In Progress,2026-06-17,
TASK000076,Pipeline review completed,Completed,2026-06-17,
TASK000077,Product spec clarification,Not Started,2026-06-17,
TASK000078,Account renewal discussion,In Progress,2026-06-17,
TASK000079,Shipping damage claim filed,Completed,2026-06-17,
TASK000080,New lead qualification call,Not Started,2026-06-17,
TASK000081,Follow up on order status,In Progress,2026-06-17,
TASK000082,Product demo scheduled,Completed,2026-06-17,
TASK000083,Send quote revision,Not Started,2026-06-17,
TASK000084,Contract review meeting,In Progress,2026-06-17,
TASK000085,Technical spec call,Completed,2026-06-17,
TASK000086,Delivery confirmation,Not Started,2026-06-16,
TASK000087,Invoice dispute follow-up,In Progress,2026-06-16,
TASK000088,Warranty claim initiated,Completed,2026-06-16,
TASK000089,Installation support scheduled,Not Started,2026-06-16,
TASK000090,Quarterly business review,In Progress,2026-06-16,
TASK000091,Return processing started,Completed,2026-06-16,
TASK000092,Credit memo issued,Not Started,2026-06-16,
TASK000093,Backorder notification sent,In Progress,2026-06-16,
TASK000094,Custom order specification,Completed,2026-06-16,
TASK000095,Compliance documentation sent,Not Started,2026-06-16,
TASK000096,Pipeline review completed,In Progress,2026-06-16,
TASK000097,Product spec clarification,Completed,2026-06-16,
TASK000098,Account renewal discussion,Not Started,2026-06-16,
TASK000099,Shipping damage claim filed,In Progress,2026-06-16,
TASK000100,New lead qualification call,Completed,2026-06-16,
TASK000101,Follow up on order status,Not Started,2026-06-16,
TASK000102,Product demo scheduled,In Progress,2026-06-16,
TASK000103,Send quote revision,Completed,2026-06-15,
TASK000104,Contract review meeting,Not Started,2026-06-15,
TASK000105,Technical spec call,In Progress,2026-06-15,
TASK000106,Delivery confirmation,Completed,2026-06-15,
TASK000107,Invoice dispute follow-up,Not Started,2026-06-15,
TASK000108,Warranty claim initiated,In Progress,2026-06-15,
TASK000109,Installation support scheduled,Completed,2026-06-15,
TASK000110,Quarterly business review,Not Started,2026-06-15,
TASK000111,Return processing started,In Progress,2026-06-15,
TASK000112,Credit memo issued,Completed,2026-06-15,
TASK000113,Backorder notification sent,Not Started,2026-06-15,
TASK000114,Custom order specification,In Progress,2026-06-15,
TASK000115,Compliance documentation sent,Completed,2026-06-15,
TASK000116,Pipeline review completed,Not Started,2026-06-15,
TASK000117,Product spec clarification,In Progress,2026-06-15,
TASK000118,Account renewal discussion,Completed,2026-06-15,
TASK000119,Shipping damage claim filed,Not Started,2026-06-14,
TASK000120,New lead qualification call,In Progress,2026-06-14,
TASK000121,Follow up on order status,Completed,2026-06-14,
TASK000122,Product demo scheduled,Not Started,2026-06-14,
TASK000123,Send quote revision,In Progress,2026-06-14,
TASK000124,Contract review meeting,Completed,2026-06-14,
TASK000125,Technical spec call,Not Started,2026-06-14,
TASK000126,Delivery confirmation,In Progress,2026-06-14,
TASK000127,Invoice dispute follow-up,Completed,2026-06-14,
TASK000128,Warranty claim initiated,Not Started,2026-06-14,
TASK000129,Installation support scheduled,In Progress,2026-06-14,
TASK000130,Quarterly business review,Completed,2026-06-14,
TASK000131,Return processing started,Not Started,2026-06-14,
TASK000132,Credit memo issued,In Progress,2026-06-14,
TASK000133,Backorder notification sent,Completed,2026-06-14,
TASK000134,Custom order specification,Not Started,2026-06-14,
TASK000135,Compliance documentation sent,In Progress,2026-06-14,
TASK000136,Pipeline review completed,Completed,2026-06-13,
TASK000137,Product spec clarification,Not Started,2026-06-13,
TASK000138,Account renewal discussion,In Progress,2026-06-13,
TASK000139,Shipping damage claim filed,Completed,2026-06-13,
TASK000140,New lead qualification call,Not Started,2026-06-13,
TASK000141,Follow up on order status,In Progress,2026-06-13,
TASK000142,Product demo scheduled,Completed,2026-06-13,
TASK000143,Send quote revision,Not Started,2026-06-13,
TASK000144,Contract review meeting,In Progress,2026-06-13,
TASK000145,Technical spec call,Completed,2026-06-13,
TASK000146,Delivery confirmation,Not Started,2026-06-13,
TASK000147,Invoice dispute follow-up,In Progress,2026-06-13,
TASK000148,Warranty claim initiated,Completed,2026-06-13,
TASK000149,Installation support scheduled,Not Started,2026-06-13,
TASK000150,Quarterly business review,In Progress,2026-06-13,
TASK000151,Return processing started,Completed,2026-06-13,
TASK000152,Credit memo issued,Not Started,2026-06-13,
TASK000153,Backorder notification sent,In Progress,2026-06-12,
TASK000154,Custom order specification,Completed,2026-06-12,
TASK000155,Compliance documentation sent,Not Started,2026-06-12,
TASK000156,Pipeline review completed,In Progress,2026-06-12,
TASK000157,Product spec clarification,Completed,2026-06-12,
TASK000158,Account renewal discussion,Not Started,2026-06-12,
TASK000159,Shipping damage claim filed,In Progress,2026-06-12,
TASK000160,New lead qualification call,Completed,2026-06-12,
TASK000161,Follow up on order status,Not Started,2026-06-12,
TASK000162,Product demo scheduled,In Progress,2026-06-12,
TASK000163,Send quote revision,Completed,2026-06-12,
TASK000164,Contract review meeting,Not Started,2026-06-12,
TASK000165,Technical spec call,In Progress,2026-06-12,
TASK000166,Delivery confirmation,Completed,2026-06-12,
TASK000167,Invoice dispute follow-up,Not Started,2026-06-12,
TASK000168,Warranty claim initiated,In Progress,2026-06-12,
TASK000169,Installation support scheduled,Completed,2026-06-12,
TASK000170,Quarterly business review,Not Started,2026-06-11,
TASK000171,Return processing started,In Progress,2026-06-11,
TASK000172,Credit memo issued,Completed,2026-06-11,
TASK000173,Backorder notification sent,Not Started,2026-06-11,
TASK000174,Custom order specification,In Progress,2026-06-11,
TASK000175,Compliance documentation sent,Completed,2026-06-11,
TASK000176,Pipeline review completed,Not Started,2026-06-11,
TASK000177,Product spec clarification,In Progress,2026-06-11,
TASK000178,Account renewal discussion,Completed,2026-06-11,
TASK000179,Shipping damage claim filed,Not Started,2026-06-11,
TASK000180,New lead qualification call,In Progress,2026-06-11,
TASK000181,Follow up on order status,Completed,2026-06-11,
TASK000182,Product demo scheduled,Not Started,2026-06-11,
TASK000183,Send quote revision,In Progress,2026-06-11,
TASK000184,Contract review meeting,Completed,2026-06-11,
TASK000185,Technical spec call,Not Started,2026-06-11,
TASK000186,Delivery confirmation,In Progress,2026-06-11,
TASK000187,Invoice dispute follow-up,Completed,2026-06-10,
TASK000188,Warranty claim initiated,Not Started,2026-06-10,
TASK000189,Installation support scheduled,In Progress,2026-06-10,
TASK000190,Quarterly business review,Completed,2026-06-10,
TASK000191,Return processing started,Not Started,2026-06-10,
TASK000192,Credit memo issued,In Progress,2026-06-10,
TASK000193,Backorder notification sent,Completed,2026-06-10,
TASK000194,Custom order specification,Not Started,2026-06-10,
TASK000195,Compliance documentation sent,In Progress,2026-06-10,
TASK000196,Pipeline review completed,Completed,2026-06-10,
TASK000197,Product spec clarification,Not Started,2026-06-10,
TASK000198,Account renewal discussion,In Progress,2026-06-10,
TASK000199,Shipping damage claim filed,Completed,2026-06-10,
TASK000200,New lead qualification call,Not Started,2026-06-10,
TASK000201,Follow up on order status,In Progress,2026-06-10,
TASK000202,Product demo scheduled,Completed,2026-06-10,
TASK000203,Send quote revision,Not Started,2026-06-10,
TASK000204,Contract review meeting,In Progress,2026-06-09,
TASK000205,Technical spec call,Completed,2026-06-09,
TASK000206,Delivery confirmation,Not Started,2026-06-09,
TASK000207,Invoice dispute follow-up,In Progress,2026-06-09,
TASK000208,Warranty claim initiated,Completed,2026-06-09,
TASK000209,Installation support scheduled,Not Started,2026-06-09,
TASK000210,Quarterly business review,In Progress,2026-06-09,
TASK000211,Return processing started,Completed,2026-06-09,
TASK000212,Credit memo issued,Not Started,2026-06-09,
TASK000213,Backorder notification sent,In Progress,2026-06-09,
TASK000214,Custom order specification,Completed,2026-06-09,
TASK000215,Compliance documentation sent,Not Started,2026-06-09,
TASK000216,Pipeline review completed,In Progress,2026-06-09,
TASK000217,Product spec clarification,Completed,2026-06-09,
TASK000218,Account renewal discussion,Not Started,2026-06-09,
TASK000219,Shipping damage claim filed,In Progress,2026-06-09,
TASK000220,New lead qualification call,Completed,2026-06-09,
TASK000221,Follow up on order status,Not Started,2026-06-08,
TASK000222,Product demo scheduled,In Progress,2026-06-08,
TASK000223,Send quote revision,Completed,2026-06-08,
TASK000224,Contract review meeting,Not Started,2026-06-08,
TASK000225,Technical spec call,In Progress,2026-06-08,
TASK000226,Delivery confirmation,Completed,2026-06-08,
TASK000227,Invoice dispute follow-up,Not Started,2026-06-08,
TASK000228,Warranty claim initiated,In Progress,2026-06-08,
TASK000229,Installation support scheduled,Completed,2026-06-08,
TASK000230,Quarterly business review,Not Started,2026-06-08,
TASK000231,Return processing started,In Progress,2026-06-08,
TASK000232,Credit memo issued,Completed,2026-06-08,
TASK000233,Backorder notification sent,Not Started,2026-06-08,
TASK000234,Custom order specification,In Progress,2026-06-08,
TASK000235,Compliance documentation sent,Completed,2026-06-08,
TASK000236,Pipeline review completed,Not Started,2026-06-08,
TASK000237,Product spec clarification,In Progress,2026-06-07,
TASK000238,Account renewal discussion,Completed,2026-06-07,
TASK000239,Shipping damage claim filed,Not Started,2026-06-07,
TASK000240,New lead qualification call,In Progress,2026-06-07,
TASK000241,Follow up on order status,Completed,2026-06-07,
TASK000242,Product demo scheduled,Not Started,2026-06-07,
TASK000243,Send quote revision,In Progress,2026-06-07,
TASK000244,Contract review meeting,Completed,2026-06-07,
TASK000245,Technical spec call,Not Started,2026-06-07,
TASK000246,Delivery confirmation,In Progress,2026-06-07,
TASK000247,Invoice dispute follow-up,Completed,2026-06-07,
TASK000248,Warranty claim initiated,Not Started,2026-06-07,
TASK000249,Installation support scheduled,In Progress,2026-06-07,
TASK000250,Quarterly business review,Completed,2026-06-07,
TASK000251,Return processing started,Not Started,2026-06-07,
TASK000252,Credit memo issued,In Progress,2026-06-07,
TASK000253,Backorder notification sent,Completed,2026-06-07,
TASK000254,Custom order specification,Not Started,2026-06-06,
TASK000255,Compliance documentation sent,In Progress,2026-06-06,
TASK000256,Pipeline review completed,Completed,2026-06-06,
TASK000257,Product spec clarification,Not Started,2026-06-06,
TASK000258,Account renewal discussion,In Progress,2026-06-06,
TASK000259,Shipping damage claim filed,Completed,2026-06-06,
TASK000260,New lead qualification call,Not Started,2026-06-06,
TASK000261,Follow up on order status,In Progress,2026-06-06,
TASK000262,Product demo scheduled,Completed,2026-06-06,
TASK000263,Send quote revision,Not Started,2026-06-06,
TASK000264,Contract review meeting,In Progress,2026-06-06,
TASK000265,Technical spec call,Completed,2026-06-06,
TASK000266,Delivery confirmation,Not Started,2026-06-06,
TASK000267,Invoice dispute follow-up,In Progress,2026-06-06,
TASK000268,Warranty claim initiated,Completed,2026-06-06,
TASK000269,Installation support scheduled,Not Started,2026-06-06,
TASK000270,Quarterly business review,In Progress,2026-06-06,
TASK000271,Return processing started,Completed,2026-06-05,
TASK000272,Credit memo issued,Not Started,2026-06-05,
TASK000273,Backorder notification sent,In Progress,2026-06-05,
TASK000274,Custom order specification,Completed,2026-06-05,
TASK000275,Compliance documentation sent,Not Started,2026-06-05,
TASK000276,Pipeline review completed,In Progress,2026-06-05,
TASK000277,Product spec clarification,Completed,2026-06-05,
TASK000278,Account renewal discussion,Not Started,2026-06-05,
TASK000279,Shipping damage claim filed,In Progress,2026-06-05,
TASK000280,New lead qualification call,Completed,2026-06-05,
TASK000281,Follow up on order status,Not Started,2026-06-05,
TASK000282,Product demo scheduled,In Progress,2026-06-05,
TASK000283,Send quote revision,Completed,2026-06-05,
TASK000284,Contract review meeting,Not Started,2026-06-05,
TASK000285,Technical spec call,In Progress,2026-06-05,
TASK000286,Delivery confirmation,Completed,2026-06-05,
TASK000287,Invoice dispute follow-up,Not Started,2026-06-05,
TASK000288,Warranty claim initiated,In Progress,2026-06-04,
TASK000289,Installation support scheduled,Completed,2026-06-04,
TASK000290,Quarterly business review,Not Started,2026-06-04,
TASK000291,Return processing started,In Progress,2026-06-04,
TASK000292,Credit memo issued,Completed,2026-06-04,
TASK000293,Backorder notification sent,Not Started,2026-06-04,
TASK000294,Custom order specification,In Progress,2026-06-04,
TASK000295,Compliance documentation sent,Completed,2026-06-04,
TASK000296,Pipeline review completed,Not Started,2026-06-04,
TASK000297,Product spec clarification,In Progress,2026-06-04,
TASK000298,Account renewal discussion,Completed,2026-06-04,
TASK000299,Shipping damage claim filed,Not Started,2026-06-04,
TASK000300,New lead qualification call,In Progress,2026-06-04,
TASK000301,Follow up on order status,Completed,2026-06-04,
TASK000302,Product demo scheduled,Not Started,2026-06-04,
TASK000303,Send quote revision,In Progress,2026-06-04,
TASK000304,Contract review meeting,Completed,2026-06-04,
TASK000305,Technical spec call,Not Started,2026-06-03,
TASK000306,Delivery confirmation,In Progress,2026-06-03,
TASK000307,Invoice dispute follow-up,Completed,2026-06-03,
TASK000308,Warranty claim initiated,Not Started,2026-06-03,
TASK000309,Installation support scheduled,In Progress,2026-06-03,
TASK000310,Quarterly business review,Completed,2026-06-03,
TASK000311,Return processing started,Not Started,2026-06-03,
TASK000312,Credit memo issued,In Progress,2026-06-03,
TASK000313,Backorder notification sent,Completed,2026-06-03,
TASK000314,Custom order specification,Not Started,2026-06-03,
TASK000315,Compliance documentation sent,In Progress,2026-06-03,
TASK000316,Pipeline review completed,Completed,2026-06-03,
TASK000317,Product spec clarification,Not Started,2026-06-03,
TASK000318,Account renewal discussion,In Progress,2026-06-03,
TASK000319,Shipping damage claim filed,Completed,2026-06-03,
TASK000320,New lead qualification call,Not Started,2026-06-03,
TASK000321,Follow up on order status,In Progress,2026-06-03,
TASK000322,Product demo scheduled,Completed,2026-06-02,
TASK000323,Send quote revision,Not Started,2026-06-02,
TASK000324,Contract review meeting,In Progress,2026-06-02,
TASK000325,Technical spec call,Completed,2026-06-02,
TASK000326,Delivery confirmation,Not Started,2026-06-02,
TASK000327,Invoice dispute follow-up,In Progress,2026-06-02,
TASK000328,Warranty claim initiated,Completed,2026-06-02,
TASK000329,Installation support scheduled,Not Started,2026-06-02,
TASK000330,Quarterly business review,In Progress,2026-06-02,
TASK000331,Return processing started,Completed,2026-06-02,
TASK000332,Credit memo issued,Not Started,2026-06-02,
TASK000333,Backorder notification sent,In Progress,2026-06-02,
TASK000334,Custom order specification,Completed,2026-06-02,
TASK000335,Compliance documentation sent,Not Started,2026-06-02,
TASK000336,Pipeline review completed,In Progress,2026-06-02,
TASK000337,Product spec clarification,Completed,2026-06-02,
TASK000338,Account renewal discussion,Not Started,2026-06-02,
TASK000339,Shipping damage claim filed,In Progress,2026-06-01,
TASK000340,New lead qualification call,Completed,2026-06-01,
TASK000341,Follow up on order status,Not Started,2026-06-01,
TASK000342,Product demo scheduled,In Progress,2026-06-01,
TASK000343,Send quote revision,Completed,2026-06-01,
TASK000344,Contract review meeting,Not Started,2026-06-01,
TASK000345,Technical spec call,In Progress,2026-06-01,
TASK000346,Delivery confirmation,Completed,2026-06-01,
TASK000347,Invoice dispute follow-up,Not Started,2026-06-01,
TASK000348,Warranty claim initiated,In Progress,2026-06-01,
TASK000349,Installation support scheduled,Completed,2026-06-01,
TASK000350,Quarterly business review,Not Started,2026-06-01,
TASK000351,Return processing started,In Progress,2026-06-01,
TASK000352,Credit memo issued,Completed,2026-06-01,
TASK000353,Backorder notification sent,Not Started,2026-06-01,
TASK000354,Custom order specification,In Progress,2026-06-01,
TASK000355,Compliance documentation sent,Completed,2026-05-31,
TASK000356,Pipeline review completed,Not Started,2026-05-31,
TASK000357,Product spec clarification,In Progress,2026-05-31,
TASK000358,Account renewal discussion,Completed,2026-05-31,
TASK000359,Shipping damage claim filed,Not Started,2026-05-31,
TASK000360,New lead qualification call,In Progress,2026-05-31,
TASK000361,Follow up on order status,Completed,2026-05-31,
TASK000362,Product demo scheduled,Not Started,2026-05-31,
TASK000363,Send quote revision,In Progress,2026-05-31,
TASK000364,Contract review meeting,Completed,2026-05-31,
TASK000365,Technical spec call,Not Started,2026-05-31,
TASK000366,Delivery confirmation,In Progress,2026-05-31,
TASK000367,Invoice dispute follow-up,Completed,2026-05-31,
TASK000368,Warranty claim initiated,Not Started,2026-05-31,
TASK000369,Installation support scheduled,In Progress,2026-05-31,
TASK000370,Quarterly business review,Completed,2026-05-31,
TASK000371,Return processing started,Not Started,2026-05-31,
TASK000372,Credit memo issued,In Progress,2026-05-30,
TASK000373,Backorder notification sent,Completed,2026-05-30,
TASK000374,Custom order specification,Not Started,2026-05-30,
